Delitos Faltas: Nivel 1;Delitos Faltas: Nivel 2;Delitos Faltas: Nivel 3;Delitos Faltas: Nivel 4;Delitos Faltas: Nivel 5;Edad;Periodo;Total
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;15 años;2013;6
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;16 años;2023;5
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;16 años;2022;10
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;16 años;2021;4
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;16 años;2020;10
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;16 años;2019;7
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;16 años;2018;6
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;16 años;2017;0
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;16 años;2016;3
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;16 años;2015;3
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;16 años;2014;3
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;16 años;2013;8
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;17 años;2023;3
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;17 años;2022;8
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;17 años;2021;9
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;17 años;2020;13
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;17 años;2019;7
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;17 años;2018;5
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;17 años;2017;4
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;17 años;2016;1
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;17 años;2015;5
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;17 años;2014;7
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;17 años;2013;4
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;Total;2023;2.066
